Gene_Symbol,GLP1_log2FC,GLP1_padj,Berberine_log2FC,Berberine_padj
Tmem30b,0.6254353644148125,3.994013847611785e-08,6.180829280584474,8.474663508524419e-12
Acpp,1.050311691097512,3.994013847611785e-08,4.066292650557122,0.0015307898808924
Ubxn10,1.4801629091030013,1.4403631928073363e-05,4.488907976263888,0.0028447061286994
Serinc5,0.3056166044518877,5.298503158533341e-05,1.2972184467494785,0.0181487680690021
Plac8,0.6423768402271932,9.149698977800152e-05,3.065510736463622,0.0134875298061897
Arsg,0.346320216681409,0.0003113932239224,1.0966039288215848,0.0148006826905091
Fxyd3,0.5191323290782666,0.0006689452619252,5.645280878485963,0.0045051068773037
Smarca1,0.5246039134811133,0.0009735001480878,2.472982357848476,0.0060646858544446
Crocc2,1.0620045786007768,0.0009793851275106,4.531987034267776,0.0026923422375684
Fam167a,1.6565715588590164,0.0012324812518865,5.199312132372258,0.0031884281949998
Lama1,1.480326286452119,0.0015463728105934,6.055285385670368,1.0949327550380285e-07
Gprc5c,0.3154956798495364,0.0015463728105934,2.9437479805297526,1.3355300274951373e-05
Mgam,1.2627151319902103,0.0023102732690809,3.657243146168063,0.0061852300507985
Clic6,1.882037496768022,0.003807122480614,5.169250903263224,0.0013249423546338
Arl4c,0.4197076390594076,0.0040845850700566,3.1281897220582855,0.0137788465145802
Mfrp,0.6254777647648785,0.0060006880570164,6.661046567907768,0.0001078595720297
Fyb2,1.3895280262011456,0.0075535310828015,4.405322956744707,0.0012730880254422
Wnk4,0.4644957744188828,0.0087757635822189,3.4671066449301784,0.0005100389460242
Mab21l3,0.8099944504021046,0.0095023230698374,5.6660108852793085,0.019200312158159
Nipal1,1.1190107865156698,0.009765235753328,3.9380418596349074,0.023897469790617
Pxylp1,0.5616514697133462,0.009765235753328,3.599674145502575,0.0047297745355103
Zkscan1,0.109537124366316,0.0104317106067312,0.7241128416144327,0.0037012192125683
Usp2,0.4730692911664727,0.0135436783497426,2.3810676520401,1.9535583914200453e-08
Clip4,0.7551077439338356,0.0138328073369529,1.841555987982748,0.0276925422884377
Tm9sf1,0.1310642424261617,0.0141729886430778,0.7086122934525158,0.0299186653609775
Extl1,0.9449661993879794,0.0153168660346045,4.578447661765,0.0019533152833721
Trim2,0.3136865658754609,0.0153659759491312,2.3612612307203613,3.731654577203593e-06
Nectin4,0.3556593501958569,0.0153758785138942,3.490023749521232,0.0053752394533431
Gm8730,0.1247491925184283,0.0159137076344378,1.1435825558203974,0.0106169740187092
Calml3,1.457745818964075,0.0159210960237974,8.671351756453642,1.0486192728635956e-11
Emx2,0.6191121629842359,0.0159277762000835,5.705246043479326,8.428056545646713e-10
Scml4,0.7266117488107701,0.0160125930090603,3.1129558055190745,0.0063631396461657
Gldc,0.5410124387262922,0.0171412636807825,4.480564196358547,0.0090288708647671
Sgpp1,0.3638911974199813,0.0172596489785091,2.0907619829421047,0.0052134623512537
Fam102a,0.3362710292751741,0.0187482482037198,1.6879940210079447,0.0025725518734084
Lin7c,0.1090996730712706,0.0207246437275812,0.4176859693202948,0.0187378146241938
Setbp1,0.2256162973572598,0.0216985380254608,2.575061301814746,0.0026238258046961
Slco1a5,0.908563134700414,0.0224185428615574,8.57444279204105,1.0043935421191963e-06
mt-Te,0.4206512626250282,0.0228304532354222,0.9636773633365876,0.0046439596081657
Sqle,0.3641344949385467,0.0235388056911197,2.1515472815744574,0.0248275547902182
S100a14,0.8628693213042182,0.0251468605753929,4.528632887858852,0.0293473405742751
BC034090,0.4185146378537913,0.0273396196480771,2.565042650115871,0.010715032317189
Hacd3,0.1130068799706797,0.0288276393446436,0.8687238124037561,0.0415209247962893
Nebl,0.7175278417895407,0.029898359148785,2.49835582704659,0.0429056637141764
Cldn23,0.7020099422507705,0.0319522804486061,3.4324526503263546,0.0463250954870654
Nipal2,0.5744988043008609,0.0319522804486061,6.757933782371856,3.669308532415709e-11
Igkv15-103,1.9663697317371485,0.0352849299595584,3.5934137264716264,0.022343212826009
Usp33,0.1242698456100207,0.0412579255487122,0.5915954345922535,0.0203361352236324
Ttc39a,0.4196699206853284,0.042224842054175,4.530066598927782,4.126135694614764e-07
Cxxc5,0.2573630281095735,0.0442784314932707,1.9537154961452683,0.0130859636005952
Hebp2,0.5868903226729137,0.0479986603614113,3.236348446954968,0.0497406982953171
Slc41a2,0.2650531227157707,0.048633651994909,2.697766941797424,0.0386963955967074
