gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Mouse_Symbol
ENSMUSG00000052117,1101.0196784890286,6.492426538847549,0.35645410378565684,18.213920024754653,4.0023676368756985e-74,6.367766910269236e-70,D630039A03Rik
ENSMUSG00000020679,1822.8668634226706,7.8866779199603,0.5161404355130494,15.280100874330552,1.0377995533136884e-52,8.255695446610391e-49,Hnf1b
ENSMUSG00000002324,1139.1144146476938,6.364204433767426,0.4270391736951325,14.903092797549519,3.146699814660265e-50,1.6687998017081603e-46,Rec8
ENSMUSG00000029074,743.1376872402151,7.5179290330621384,0.5260016391194788,14.292596208724888,2.4336478521860545e-46,9.679834332070032e-43,Ttll10
ENSMUSG00000030701,959.9363003263908,4.285242652219858,0.30047546036485967,14.261539518123698,3.799784035265097e-46,1.2090912800213538e-42,Plekhb1
ENSMUSG00000029695,1804.783391232928,4.1130107449625175,0.290055007627313,14.180105968890077,1.2166270327570566e-45,3.2260893485274617e-42,Aass
ENSMUSG00000030849,1984.2541987050543,3.417378701484744,0.25037747132731,13.648906522493473,2.0493052079691806e-42,4.657777979827094e-39,Fgfr2
ENSMUSG00000028716,1267.6174513175313,6.693775300122094,0.49670109299079546,13.476465815319111,2.1516926179147709e-41,4.2791786938780006e-38,Pdzk1ip1
ENSMUSG00000106641,537.1767049160482,7.762741313837939,0.5775559288564971,13.440674618659685,3.492381591349372e-41,6.173754568707613e-38,Gm43534
ENSMUSG00000078706,1299.6007775275273,7.2891293324775175,0.5652513348533554,12.895377477292566,4.779172429272173e-38,6.912421213610934e-35,Gm53
ENSMUSG00000045394,4304.439667208865,8.102195389540615,0.6281468886530185,12.89856805135937,4.5853853699763257e-38,6.912421213610934e-35,Epcam
ENSMUSG00000034177,1707.7486107055322,7.388870482250183,0.5811390103824022,12.714463063472788,4.914737647596419e-37,6.5161229977715856e-34,Rnf43
ENSMUSG00000013418,1417.4881449087345,6.766043448357949,0.549916970665073,12.303754583487494,8.64597518427053e-35,1.058134347551878e-31,B4galnt2
ENSMUSG00000000303,6119.908850572107,7.9086908892177075,0.6443307380787963,12.274272236024444,1.2450629623575486e-34,1.414925123650614e-31,Cdh1
ENSMUSG00000000385,1275.6212094076075,7.144382428129218,0.5853819140926619,12.204651794210218,2.9356166633312645e-34,3.113710740906695e-31,Tmprss2
ENSMUSG00000052430,864.7731620814126,6.131917230855856,0.5137252963030166,11.936179267370546,7.666460970620625e-33,7.623337127660884e-30,Bmpr1b
ENSMUSG00000003051,2564.6166265121587,8.166132744657652,0.6859315479439979,11.905171542458879,1.1123432389437718e-32,1.0410224077409064e-29,Elf3
ENSMUSG00000069601,2735.9879008261582,5.36355795482761,0.4559849741583695,11.762576090862101,6.084892449011991e-32,5.378368825765598e-29,Ank3
ENSMUSG00000006345,10400.90298757173,7.726140447542636,0.6594468391403735,11.716092926632419,1.054228796951203e-31,8.827779031312442e-29,Ggt1
ENSMUSG00000040350,1097.3995384754373,4.130396034052874,0.3603142298924121,11.46331643711709,2.0164271673447256e-30,1.6040678116227291e-27,Trim7
ENSMUSG00000032068,2336.872890052952,6.761909735828327,0.5937130920810396,11.389187515011631,4.7338309482467324e-30,3.586440494600262e-27,Plet1
ENSMUSG00000019312,1630.1149483233748,5.658336740816304,0.5087336139459151,11.1223960550361,9.761462431764262e-29,7.05931214951679e-26,Grb7
ENSMUSG00000029032,1398.0306067484664,6.610747837335915,0.6050360755006162,10.926204411639553,8.63866400923321e-28,5.975701929865234e-25,Arhgef16
ENSMUSG00000000159,1030.9811633874424,7.946410022348212,0.7358902678660689,10.798362703438347,3.503959601938326e-27,2.322833219451615e-24,Igsf5
ENSMUSG00000041782,2535.727630071677,7.799472369524856,0.7328578675283404,10.642544366521715,1.8889934387497634e-26,1.2021554244203494e-23,Lad1
ENSMUSG00000033998,6320.503821422838,7.800439402958918,0.7361903831094464,10.595682288068218,3.1205704719635714e-26,1.9095490849592468e-23,Kcnk1
ENSMUSG00000060716,2582.967652291461,5.859766382200309,0.558299657600935,10.495737015817392,9.036968812207942e-26,5.32511754823068e-23,Plekhh1
ENSMUSG00000041605,418.00555049944796,7.226832979945856,0.703804807438118,10.2682347485688,9.7981057014916e-25,5.56742363252612e-22,Inava
ENSMUSG00000073434,1432.2773807039364,1.2129685145111748,0.11916748998759653,10.178686440718234,2.4687121405292132e-24,1.3543865570972339e-21,Wdr90
ENSMUSG00000046807,3073.1675408627602,7.760072790977495,0.76734995345855,10.112821087695123,4.8468150071337715e-24,2.570427558783277e-21,Lrrc75b
ENSMUSG00000030688,3466.7555366081074,5.093586035576564,0.5041449359078406,10.103416047221168,5.335070596671027e-24,2.7380959094527757e-21,Stard10
ENSMUSG00000018849,5515.779427841565,6.091808359214652,0.6053833506972285,10.062728603617249,8.072926414183526e-24,4.0137581015518715e-21,Wwc1
ENSMUSG00000045515,2798.5214251413877,7.757210478875045,0.782482987976665,9.913583551424606,3.633738774643584e-23,1.751902542563013e-20,Pou3f3
ENSMUSG00000027315,1730.5290845427855,5.733642644605937,0.5791804564517146,9.899578932156084,4.1803133518957325e-23,1.9561407479017973e-20,Spint1
ENSMUSG00000054889,10824.647068425887,6.214123760951332,0.6330738871562848,9.815795418232552,9.627568271562671e-23,4.3764174628732026e-20,Dsp
